,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_algorithm,param_leaf_size,param_p,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,mean_test_score,std_test_score,rank_test_score
0,0.055315375328063965,0.004869815237018806,0.14638988971710204,0.009390450370936885,auto,5,1,"{'algorithm': 'auto', 'leaf_size': 5, 'p': 1}",0.3695906432748538,0.3567251461988304,0.37543859649122807,0.35789473684210527,0.36374269005847953,0.3871345029239766,0.3684210526315789,0.3485380116959064,0.35555555555555557,0.3805620608899297,0.36636029965624445,0.011558914736376937,1
1,0.053814244270324704,0.0023104897668159894,0.18090620040893554,0.003389131656698146,auto,5,2,"{'algorithm': 'auto', 'leaf_size': 5, 'p': 2}",0.3391812865497076,0.3216374269005848,0.36023391812865496,0.34502923976608185,0.3321637426900585,0.3684210526315789,0.34035087719298246,0.3508771929824561,0.3321637426900585,0.3548009367681499,0.3444859416300313,0.013562435681195124,21
2,0.05730085372924805,0.002229187916285105,0.4534067869186401,0.02990713192846821,auto,5,3,"{'algorithm': 'auto', 'leaf_size': 5, 'p': 3}",0.34152046783625734,0.312280701754386,0.35789473684210527,0.34502923976608185,0.32514619883040935,0.36140350877192984,0.34269005847953216,0.33567251461988307,0.3286549707602339,0.3559718969555035,0.34062642946163224,0.014835034075868959,41
3,0.0564173698425293,0.006120973246614101,0.4009092807769775,0.037616923838857765,auto,5,4,"{'algorithm': 'auto', 'leaf_size': 5, 'p': 4}",0.33801169590643276,0.31812865497076026,0.35555555555555557,0.3368421052631579,0.3286549707602339,0.3567251461988304,0.3473684210526316,0.33567251461988307,0.3309941520467836,0.3477751756440281,0.33957283920182973,0.011642386554705569,61
4,0.05370118618011475,0.003991141969343421,0.35401248931884766,0.008301892376315347,auto,5,5,"{'algorithm': 'auto', 'leaf_size': 5, 'p': 5}",0.3286549707602339,0.31812865497076026,0.3567251461988304,0.34385964912280703,0.3333333333333333,0.352046783625731,0.34269005847953216,0.3391812865497076,0.3216374269005848,0.33489461358313816,0.3371151923524659,0.011743921341414804,81
5,0.04671483039855957,0.0012768904082184173,0.13149209022521974,0.0053177064381102175,auto,10,1,"{'algorithm': 'auto', 'leaf_size': 10, 'p': 1}",0.3695906432748538,0.3567251461988304,0.37543859649122807,0.35789473684210527,0.36374269005847953,0.3871345029239766,0.3684210526315789,0.3485380116959064,0.35555555555555557,0.3805620608899297,0.36636029965624445,0.011558914736376937,1
6,0.048096418380737305,0.00270422063178437,0.1351015090942383,0.004149994047257338,auto,10,2,"{'algorithm': 'auto', 'leaf_size': 10, 'p': 2}",0.3391812865497076,0.3216374269005848,0.36023391812865496,0.34502923976608185,0.3321637426900585,0.3684210526315789,0.34035087719298246,0.3508771929824561,0.3321637426900585,0.3548009367681499,0.3444859416300313,0.013562435681195124,21
7,0.04772670269012451,0.0016801438469106612,0.5437876224517822,0.020180713490495654,auto,10,3,"{'algorithm': 'auto', 'leaf_size': 10, 'p': 3}",0.34152046783625734,0.312280701754386,0.35789473684210527,0.34502923976608185,0.32514619883040935,0.36140350877192984,0.34269005847953216,0.33567251461988307,0.3286549707602339,0.3559718969555035,0.34062642946163224,0.014835034075868959,41
8,0.04753117561340332,0.0014349908664553085,0.4884920358657837,0.0131165488569242,auto,10,4,"{'algorithm': 'auto', 'leaf_size': 10, 'p': 4}",0.33801169590643276,0.31812865497076026,0.35555555555555557,0.3368421052631579,0.3286549707602339,0.3567251461988304,0.3473684210526316,0.33567251461988307,0.3309941520467836,0.3477751756440281,0.33957283920182973,0.011642386554705569,61
9,0.0471102237701416,0.0008191923475031581,0.46080009937286376,0.01220390182576262,auto,10,5,"{'algorithm': 'auto', 'leaf_size': 10, 'p': 5}",0.3286549707602339,0.31812865497076026,0.3567251461988304,0.34385964912280703,0.3333333333333333,0.352046783625731,0.34269005847953216,0.3391812865497076,0.3216374269005848,0.33489461358313816,0.3371151923524659,0.011743921341414804,81
10,0.04341654777526856,0.0026934978912582356,0.12858982086181642,0.003925179766124498,auto,30,1,"{'algorithm': 'auto', 'leaf_size': 30, 'p': 1}",0.3695906432748538,0.3567251461988304,0.37543859649122807,0.35789473684210527,0.36374269005847953,0.3871345029239766,0.3684210526315789,0.3485380116959064,0.35555555555555557,0.3805620608899297,0.36636029965624445,0.011558914736376937,1
11,0.043123292922973636,0.0010453461434308464,0.11269726753234863,0.00194613767879088,auto,30,2,"{'algorithm': 'auto', 'leaf_size': 30, 'p': 2}",0.3391812865497076,0.3216374269005848,0.36023391812865496,0.34502923976608185,0.3321637426900585,0.3684210526315789,0.34035087719298246,0.3508771929824561,0.3321637426900585,0.3548009367681499,0.3444859416300313,0.013562435681195124,21
12,0.04291486740112305,0.002004290067236014,0.6900035858154296,0.01676907377878712,auto,30,3,"{'algorithm': 'auto', 'leaf_size': 30, 'p': 3}",0.34152046783625734,0.312280701754386,0.35789473684210527,0.34502923976608185,0.32514619883040935,0.36140350877192984,0.34269005847953216,0.33567251461988307,0.3286549707602339,0.3559718969555035,0.34062642946163224,0.014835034075868959,41
13,0.04232046604156494,0.0011052983265937124,0.6203970432281494,0.01765071591358837,auto,30,4,"{'algorithm': 'auto', 'leaf_size': 30, 'p': 4}",0.33801169590643276,0.31812865497076026,0.35555555555555557,0.3368421052631579,0.3286549707602339,0.3567251461988304,0.3473684210526316,0.33567251461988307,0.3309941520467836,0.3477751756440281,0.33957283920182973,0.011642386554705569,61
