,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_bootstrap,param_criterion,param_max_depth,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,mean_test_score,std_test_score,rank_test_score
0,0.08241806030273438,0.005875911231416548,0.006001615524291992,0.0014774197043994951,True,gini,1,30,"{'bootstrap': True, 'criterion': 'gini', 'max_depth': 1, 'n_estimators': 30}",0.38362573099415204,0.38362573099415204,0.38362573099415204,0.38362573099415204,0.38362573099415204,0.38362573099415204,0.3847953216374269,0.3847953216374269,0.38362573099415204,0.3840749414519906,0.3839045701685909,0.00046477540049861947,37
1,0.21941723823547363,0.021575640254705496,0.013090944290161133,0.0017580607640121284,True,gini,1,80,"{'bootstrap': True, 'criterion': 'gini', 'max_depth': 1, 'n_estimators': 80}",0.38362573099415204,0.38362573099415204,0.38362573099415204,0.38362573099415204,0.38362573099415204,0.38362573099415204,0.3847953216374269,0.3847953216374269,0.38362573099415204,0.3840749414519906,0.3839045701685909,0.00046477540049861947,37
2,0.4352018117904663,0.049393232366224823,0.02520608901977539,0.005271700274831121,True,gini,1,130,"{'bootstrap': True, 'criterion': 'gini', 'max_depth': 1, 'n_estimators': 130}",0.38362573099415204,0.38362573099415204,0.38362573099415204,0.38362573099415204,0.38362573099415204,0.38362573099415204,0.3847953216374269,0.3847953216374269,0.38362573099415204,0.3840749414519906,0.3839045701685909,0.00046477540049861947,37
3,0.21801180839538575,0.0316925895409169,0.00938851833343506,0.003380213788099318,True,gini,5,30,"{'bootstrap': True, 'criterion': 'gini', 'max_depth': 5, 'n_estimators': 30}",0.4842105263157895,0.4783625730994152,0.49005847953216375,0.4631578947368421,0.495906432748538,0.4783625730994152,0.47251461988304094,0.49005847953216375,0.47485380116959064,0.4894613583138173,0.4816946738430777,0.00951535802657072,34
4,0.4453078031539917,0.07056471472185401,0.014995503425598144,0.0007756601977784072,True,gini,5,80,"{'bootstrap': True, 'criterion': 'gini', 'max_depth': 5, 'n_estimators': 80}",0.4818713450292398,0.47953216374269003,0.5005847953216375,0.4807017543859649,0.4888888888888889,0.4853801169590643,0.4654970760233918,0.495906432748538,0.4842105263157895,0.49063231850117095,0.4853205417916375,0.0092029753366071,27
5,0.6966311454772949,0.05072669067479871,0.02328801155090332,0.0010916851519244832,True,gini,5,130,"{'bootstrap': True, 'criterion': 'gini', 'max_depth': 5, 'n_estimators': 130}",0.4853801169590643,0.4818713450292398,0.4888888888888889,0.47251461988304094,0.4888888888888889,0.4853801169590643,0.4760233918128655,0.504093567251462,0.47953216374269003,0.49063231850117095,0.4853205417916375,0.00837821979624168,27
6,0.3151280879974365,0.03322861318975948,0.010098648071289063,0.0017675735555705081,True,gini,10,30,"{'bootstrap': True, 'criterion': 'gini', 'max_depth': 10, 'n_estimators': 30}",0.5157894736842106,0.504093567251462,0.5087719298245614,0.49707602339181284,0.4888888888888889,0.512280701754386,0.49707602339181284,0.5181286549707602,0.5064327485380117,0.5058548009367682,0.5054392812632674,0.008618773121678955,13
7,0.7696156978607178,0.10054925525541251,0.021307969093322755,0.002762914998416751,True,gini,10,80,"{'bootstrap': True, 'criterion': 'gini', 'max_depth': 10, 'n_estimators': 80}",0.5134502923976608,0.504093567251462,0.5134502923976608,0.504093567251462,0.495906432748538,0.5134502923976608,0.4982456140350877,0.5286549707602339,0.5134502923976608,0.5128805620608899,0.5097675883698317,0.008999720071316013,6
8,1.2253185272216798,0.13944992961434707,0.034795165061950684,0.00697677651352325,True,gini,10,130,"{'bootstrap': True, 'criterion': 'gini', 'max_depth': 10, 'n_estimators': 130}",0.5146198830409356,0.5076023391812865,0.5169590643274854,0.49707602339181284,0.504093567251462,0.5087719298245614,0.5099415204678363,0.5169590643274854,0.5134502923976608,0.5199063231850117,0.5109380007395539,0.006546886645852018,3
9,0.49661409854888916,0.06254079069447026,0.013409996032714843,0.0012798742549559431,True,gini,20,30,"{'bootstrap': True, 'criterion': 'gini', 'max_depth': 20, 'n_estimators': 30}",0.4982456140350877,0.4865497076023392,0.49005847953216375,0.49473684210526314,0.47251461988304094,0.5146198830409356,0.4818713450292398,0.5181286549707602,0.49473684210526314,0.48360655737704916,0.49350685456811433,0.013460470550454849,22
